Region,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Beijing,717181,646907,599561,547718,486409,427371,380963,201027,177105,149355,134364,119206,106600,98295,87621,69700,60670,53162,46328
Tianjin,1021673,306423,310544,290620,254823,222594,181328,144146,127423,118913,114806,109624,97700,93814,82888,68600,56770,47045,41555
Hebei,235381,225402,158991,108665,95818,84821,73624,62135,54542,48960,45700,40348,37000,33841,29113,24700,21930,20057,17519
Shanxi,89039,92559,70136,63011,49724,42163,41107,39119,34182,31963,31899,22929,20500,18000,17787,11100,7710,6913,6119
Inner Mongolia,60615,56084,58421,44853,45979,41080,35142,26449,22911,25802,25519,23243,24000,22155,17148,14800,12640,10811,3836
Liaoning,460264,415731,402830,377494,315850,213278,206639,198641,183207,185564,165969,147615,131800,124756,108767,94500,81500,67915,73501
Jilin,143755,70774,64297,49009,38874,35606,35230,33328,31779,23890,23253,22259,19300,17489,31334,30800,20710,19351,18265
Heilongjiang,173401,168558,46046,42747,33669,28280,22302,23983,22794,22247,20941,19617,18100,16170,14489,13700,10980,9466,8123
Shanghai,1215537,1033395,955229,884911,798239,734246,661273,530467,457933,413768,377353,339385,308400,293991,257032,225500,200670,172188,150816
Jiangsu,1430860,1369729,1173515,1056042,965819,879868,782154,718131,666376,625000,572851,508106,444400,415930,382030,324300,265720,216981,150014
Zhejiang,667322,589264,500693,445788,373415,319870,291813,262881,240408,217810,201919,183233,164000,158255,145658,125700,101910,83432,61226
Anhui,324765,322704,165643,112984,86641,67256,106486,48026,41612,39962,32884,30324,27900,25465,23755,18300,15480,12938,11644
Fujian,337155,315255,297471,278698,260721,226315,196713,173245,156516,145744,136898,124831,117500,112129,102706,87800,75330,68877,66118
Jiangxi,151796,133086,100985,87720,80797,77738,72578,67025,58770,53857,49081,43917,36900,33485,28969,23200,18490,16326,13667
Shandong,1632805,1207308,575432,345229,304218,251874,219334,199227,176491,158114,143374,124523,112000,101163,96311,88500,78620,69410,59662
Henan,105154,111920,116307,105408,104538,82249,68710,58878,47787,46341,42353,37866,34700,29305,25656,23300,20640,14861,12628
Hubei,232699,237071,186438,142275,115103,99316,89231,77671,65357,58274,51896,42864,37700,34030,31345,28000,25780,22694,17676
Hunan,235715,214906,184126,183185,163392,58000,52147,46307,40486,38381,34958,32406,28000,26622,24324,21300,15820,11908,10214
Guangdong,2328471,2167181,1953252,1923465,1762227,781571,644310,562063,512640,478645,452466,421260,393900,372646,350705,314300,288920,260957,241262
Guangxi,900551,289389,91640,62723,56200,43720,42529,37396,31927,31143,29942,27973,27200,25826,21908,18000,14710,12678,10448
Hainan,4527233,2744956,104528,92793,76089,76039,31174,27888,26994,27072,22066,25886,90300,96659,94102,11800,9200,8633,8900
Chongqing,133529,123895,111070,110686,94558,88065,78845,67517,58841,53694,45194,34885,27800,23848,19774,9300,8030,7245,6547
Sichuan,238567,296279,289060,125557,112797,94193,88409,82752,72490,64045,57419,54383,46100,42113,26868,19900,16600,13982,13632
Guizhou,94560,83573,48722,45303,31251,23719,18147,15472,11856,7670,5681,4132,3600,3215,2797,2600,2340,2234,2100
Yunnan,164137,142431,67099,54369,37382,33005,32720,25253,24097,22561,20641,17949,15900,14106,11833,10700,8420,7892,7309
Tibet,2733,2859,2665,2639,3031,2259,1997,1328,1311,1131,726,534,600,550,509,400,350,331,359
Shaanxi,195490,183272,121290,118786,80039,56081,51571,44734,36629,31130,19888,18044,16200,13692,16474,14900,13700,12463,11600
Gansu,41808,25931,25617,23617,20197,7529,7657,6764,6510,6979,6394,6289,4900,3827,3064,2800,3160,3059,2164
Qinghai,10199,7819,7834,7874,7699,7527,7396,3095,2981,2829,3144,2349,2800,3311,2426,2000,700,959,786
Ningxia,27956,26993,26463,18477,30420,8707,8972,5164,3537,3098,4399,3964,2500,2449,2183,4400,4455,4067,3884
Xinjiang,56806,32042,24123,21151,13323,9666,8518,7586,6453,6655,5602,5229,4800,4560,3090,2600,1850,1448,1251
