Region,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Beijing,190313,187526,164158,161776,150962,136172,123391,113692,106732,100569,92758,86246,78307,71059,68541,63629,53438,47182,42402,36583
Tianjin,119235,113660,101068,101557,95689,87280,79647,75868,74960,71345,66517,61458,54053,47497,45242,37976,33411,30567,25761,22371
Hebei,56995,54181,48302,47036,43808,41451,38688,35994,34507,33346,31844,29647,25308,21831,20385,17561,14609,12845,11178,9380
Shanxi,73675,65625,51051,48469,45517,41242,33972,33593,34248,33848,32864,30534,25434,20906,21234,17542,14008,12195,10515,8639
Inner Mongolia,96474,88137,71640,71170,66491,61196,56560,52972,49585,46320,42441,38276,33262,28982,25620,21334,17275,14695,12315,10015
Liaoning,68775,64992,58629,58019,54657,50221,47069,46482,45915,43956,40778,37353,31888,29611,28185,24022,19760,17210,15355,14041
Jilin,55347,55148,50561,47554,44925,42890,40259,38128,37539,35139,32005,28270,23370,19858,17696,14966,11864,10237,9073,7925
Heilongjiang,51096,47199,42432,41156,38199,35887,34025,32759,33464,32068,29352,26093,21694,18871,18654,16023,13947,12456,10836,9464
Shanghai,179907,175420,156803,153299,145767,133489,121369,109186,102827,95746,89613,85897,79396,72363,69154,63951,54996,49377,44998,39117
Jiangsu,144390,138255,121333,116650,110508,102202,92658,85871,78711,72768,66533,61464,52787,44272,39967,33798,27868,23984,19790,16743
Zhejiang,118496,113839,100738,98770,93230,85612,78384,73276,68569,65105,61097,57828,51110,43543,41061,36454,30415,26277,23476,20249
Anhui,73603,69676,62411,60561,56063,49092,43686,39692,37580,34404,30697,27303,21923,17715,15535,12989,10630,9193,8279,7001
Fujian,126829,118750,105106,102722,94719,83758,74024,67649,63709,58255,52959,47928,40773,33999,30153,25915,20915,18107,16248,14330
Jiangxi,70923,66020,57065,54640,50347,44878,40950,37436,34988,31952,28624,25928,21099,17277,15816,13270,10859,9172,7960,6636
Shandong,86003,81510,71825,69901,66284,62993,59239,56205,51933,48673,44348,40581,35599,31282,28861,24329,20443,17308,14540,11977
Henan,62106,58587,54691,54356,50714,45723,41326,38338,35982,33114,30497,27901,23984,20280,18879,15811,12761,10978,9047,7376
Hubei,92059,86551,73687,76712,71097,63169,56844,52021,48635,43835,39149,34719,28359,23081,20153,16593,13210,11342,9746,8378
Hunan,73598,68913,62537,60104,54763,51030,46606,43155,39181,35702,32203,28766,24005,19979,17758,14626,11733,10200,9004,7589
Guangdong,101905,98561,88521,86956,81625,76218,69671,64516,59909,56029,52308,50076,44669,39418,37543,33236,27861,23997,20647,17950
Guangxi,52164,50137,44237,42778,39837,36441,33340,30890,28603,26416,24181,22234,18070,14708,13471,11542,9421,8069,7182,6120
Hainan,66602,63991,55438,53929,50263,46631,43009,39704,37166,34053,30993,28014,23323,18860,17357,14683,12350,10753,9859,8849
Chongqing,90663,87450,78294,74337,68460,64171,58327,52480,48311,43527,39180,34864,28084,23346,20865,16966,13915,12335,10934,9311
Sichuan,67777,64610,58009,55619,51658,45835,40297,37150,35563,32750,29627,26136,21230,17387,15685,12963,10371,8828,7751,6565
Guizhou,52321,50476,46355,43727,40271,35988,31589,28547,25101,22089,18947,16024,12882,10814,9697,7778,6103,5218,4244,3708
Yunnan,61716,57717,52047,49323,44446,39458,35051,32117,30217,27665,23992,20653,16866,14427,13286,11287,9158,7890,7136,6048
Tibet,58438,56831,52280,47491,44051,39158,35015,31847,29275,26209,22762,20083,17209,15154,13703,11991,10112,8733,7946,6883
Shaanxi,82864,76171,65867,65506,61115,55216,49341,46654,45610,41906,37453,32467,26388,21485,19331,15342,12439,10357,8545,7057
Gansu,44968,40976,35848,34707,32178,29103,27396,25946,25724,23647,21141,18846,15421,12802,12048,10501,8653,7332,6512,5525
Qinghai,60724,57036,50845,49976,46854,42211,38968,34883,32218,30005,26839,24233,20418,16907,16220,13100,10728,9233,8275,7248
Ningxia,69781,63461,55021,52537,49614,45718,40339,37876,36815,35135,32609,30161,24984,20382,18554,14458,11389,9796,8904,7686
Xinjiang,68552,62991,53606,53542,51238,45476,40020,39520,40193,36988,33103,29624,24700,19755,19605,16887,14567,12687,11139,9842
